Program	Code	Mnemonic	Summary	Severity	HelpLink
BSCMAKE	BK1503		cannot write to file 'filename' [: reason]	Error	http://msdn.microsoft.com/en-us/library/hdcfh6c7.aspx
BSCMAKE	BK1504		cannot position in file 'filename' [: reason]	Error	http://msdn.microsoft.com/en-us/library/y6fd91td.aspx
BSCMAKE	BK1505		cannot read from file 'filename' [: reason]	Error	http://msdn.microsoft.com/en-us/library/81k63w1e.aspx
BSCMAKE	BK1506		cannot open file 'filename' [: reason]	Error	http://msdn.microsoft.com/en-us/library/4k027wt5.aspx
BSCMAKE	BK1507		cannot open temporary file 'filename' [: reason]	Error	http://msdn.microsoft.com/en-us/library/dbb9ehx1.aspx
BSCMAKE	BK1508		cannot delete temporary file 'filename' [: reason]	Error	http://msdn.microsoft.com/en-us/library/dtky14be.aspx
BSCMAKE	BK1509		out of heap space	Error	http://msdn.microsoft.com/en-us/library/12ex2f8d.aspx
BSCMAKE	BK1510		corrupt .SBR file filename	Error	http://msdn.microsoft.com/en-us/library/68cke5hx.aspx
BSCMAKE	BK1512		filename: capacity exceeded	Error	http://msdn.microsoft.com/en-us/library/6s3c7916.aspx
BSCMAKE	BK1513		nonincremental update requires all .SBR files	Error	http://msdn.microsoft.com/en-us/library/8wff1f6a.aspx
BSCMAKE	BK1514		all .SBR files truncated, none found in filename	Error	http://msdn.microsoft.com/en-us/library/64y9cc8x.aspx
BSCMAKE	BK1515		bscfile: incompatible version: cannot incrementally update	Error	http://msdn.microsoft.com/en-us/library/7c5bkd97.aspx
BSCMAKE	BK1516		bscfile corrupt; cannot incrementally update	Error	http://msdn.microsoft.com/en-us/library/t5tbhbc3.aspx
BSCMAKE	BK1517		source file for sbrfile compiled with both /Yc and /Yu	Error	http://msdn.microsoft.com/en-us/library/xwkted4c.aspx
BSCMAKE	BK4502		truncated .SBR file 'filename' not in filename	Warning	http://msdn.microsoft.com/en-us/library/5ba52z29.aspx
BSCMAKE	BK4503		minor error in .SBR file filename ignored	Warning	http://msdn.microsoft.com/en-us/library/1ytsb09k.aspx
BSCMAKE	BK4504		file contains too many references; ignoring further references from this source	Warning	http://msdn.microsoft.com/en-us/library/c9az84b2.aspx
C# Compiler	CS0001	InternalCompilerError	Internal compiler error	Error	https://msdn.microsoft.com/en-us/library/d75z8zab(v=vs.90).aspx
C# Compiler	CS0003	NoMemory	Out of memory	Error	https://msdn.microsoft.com/en-us/library/6070t644(v=vs.90).aspx
C# Compiler	CS0005	MissingOptionArg	Compiler option 'compiler_option' must be followed by an argument	Error	https://msdn.microsoft.com/en-us/library/14d64z18(v=vs.90).aspx
C# Compiler	CS0006	NoMetadataFile	Metadata file 'dll_name' could not be found	Error	https://msdn.microsoft.com/en-us/library/a92dycyz(v=vs.90).aspx
C# Compiler	CS0007	ComPlusInit	Unexpected common language runtime initialization error - 'description'	Error	https://msdn.microsoft.com/en-us/library/4bwh6d2t(v=vs.90).aspx
C# Compiler	CS0008	MetadataImportFailure	Unexpected error reading metadata from file 'file' - 'description'	Error	https://msdn.microsoft.com/en-us/library/fd1y3633(v=vs.90).aspx
C# Compiler	CS0009	MetadataCantOpenFile	Metadata file 'file' could not be opened - 'description'	Error	https://msdn.microsoft.com/en-us/library/18bykyht(v=vs.90).aspx
C# Compiler	CS0010	FatalError	Unexpected fatal error -- 'error'.	Error	https://msdn.microsoft.com/en-us/library/bb546037(v=vs.90).aspx
C# Compiler	CS0011	CantImportBase	The base class or interface 'class' in assembly 'assembly' referenced by type 'type' could not be resolved	Error	https://msdn.microsoft.com/en-us/library/xx4ww723(v=vs.90).aspx
C# Compiler	CS0012	NoTypeDef	The type 'type' is defined in an assembly that is not referenced. You must add a reference to assembly 'assembly'.	Error	https://msdn.microsoft.com/en-us/library/x0dz51e1(v=vs.90).aspx
C# Compiler	CS0013	MetadataEmitFailure	Unexpected error writing metadata to file 'file' - 'description'	Error	https://msdn.microsoft.com/en-us/library/6b29s6et(v=vs.90).aspx
C# Compiler	CS0014	RequiredFileNotFound	Required file 'file' could not be found	Error	https://msdn.microsoft.com/en-us/library/e13sxxzw(v=vs.90).aspx
C# Compiler	CS0015	ClassNameTooLong	The name of type 'type' is too long	Error	https://msdn.microsoft.com/en-us/library/ekh0s42s(v=vs.90).aspx
C# Compiler	CS0016	OutputWriteFailed	Could not write to output file 'file' - 'reason'	Error	https://msdn.microsoft.com/en-us/library/10bc6bcy(v=vs.90).aspx
C# Compiler	CS0017	MultipleEntryPoints	Program 'output file name' has more than one entry point defined. Compile with /main to specify the type that contains the entry point.	Error	https://msdn.microsoft.com/en-us/library/t9k01y87(v=vs.90).aspx
C# Compiler	CS0019	BadBinaryOps	Operator 'operator' cannot be applied to operands of type 'type' and 'type'	Error	https://msdn.microsoft.com/en-us/library/a63h61ky(v=vs.90).aspx
C# Compiler	CS0020	IntDivByZero	Division by constant zero	Error	https://msdn.microsoft.com/en-us/library/1585byh1(v=vs.90).aspx
C# Compiler	CS0021	BadIndexLHS	Cannot apply indexing with [] to an expression of type 'type'	Error	https://msdn.microsoft.com/en-us/library/akd1d8x2(v=vs.90).aspx
C# Compiler	CS0022	BadIndexCount	Wrong number of indices inside [], expected 'number'	Error	https://msdn.microsoft.com/en-us/library/7aa713ke(v=vs.90).aspx
C# Compiler	CS0023	BadUnaryOp	Operator 'operator' cannot be applied to operand of type 'type'	Error	https://msdn.microsoft.com/en-us/library/yhy5wcyy(v=vs.90).aspx
C# Compiler	CS0025	NoStdLib	Standard library file 'file' could not be found	Error	https://msdn.microsoft.com/en-us/library/1ac82d87(v=vs.90).aspx
C# Compiler	CS0026	ThisInStaticMeth	Keyword 'this' is not valid in a static property, static method, or static field initializer	Error	https://msdn.microsoft.com/en-us/library/5dwy0w6x(v=vs.90).aspx
C# Compiler	CS0027	ThisInBadContext	Keyword 'this' is not available in the current context	Error	https://msdn.microsoft.com/en-us/library/8y4w61te(v=vs.90).aspx
C# Compiler	CS0028	InvalidMainSig	'function declaration' has the wrong signature to be an entry point 	Warning (level 4)	https://msdn.microsoft.com/en-us/library/cdt084ch(v=vs.90).aspx
C# Compiler	CS0029	NoImplicitConv	Cannot implicitly convert type 'type' to 'type'	Error	https://msdn.microsoft.com/en-us/library/xzhh5fx5(v=vs.90).aspx
C# Compiler	CS0030	NoExplicitConv	Cannot convert type 'type' to 'type'	Error	https://msdn.microsoft.com/en-us/library/zth4bb2f(v=vs.90).aspx
C# Compiler	CS0031	ConstOutOfRange	Constant value 'value' cannot be converted to a 'type'. (use 'unchecked' syntax to override)	Error	https://msdn.microsoft.com/en-us/library/879y0b2y(v=vs.90).aspx
C# Compiler	CS0034	AmbigBinaryOps	Operator 'operator' is ambiguous on operands of type 'type1' and 'type2'	Error	https://msdn.microsoft.com/en-us/library/w23z7ctw(v=vs.90).aspx
C# Compiler	CS0035	AmbigUnaryOp	Operator 'operator' is ambiguous on an operand of type 'type'	Error	https://msdn.microsoft.com/en-us/library/71ax0ctw(v=vs.90).aspx
C# Compiler	CS0036	InAttrOnOutParam	An out parameter cannot have the '[In]' attribute	Error	https://msdn.microsoft.com/en-us/library/2asc9bzh(v=vs.90).aspx
C# Compiler	CS0037	ValueCantBeNull	Cannot convert null to 'type' because it is a non-nullable value type	Error	https://msdn.microsoft.com/en-us/library/6z0y399a(v=vs.90).aspx
C# Compiler	CS0038	WrongNestedThis	Cannot access a nonstatic member of outer type 'type1' via nested type 'type2'	Error	https://msdn.microsoft.com/en-us/library/twws505a(v=vs.90).aspx
C# Compiler	CS0039	NoExplicitBuiltinConv	Cannot convert type 'type1' to 'type2' via a reference conversion, boxing conversion, unboxing conversion, wrapping conversion, or null type conversion	Error	https://msdn.microsoft.com/en-us/library/8s92a6fk(v=vs.90).aspx
C# Compiler	CS0040	DebugInit	Unexpected error creating debug information file - 'reason'	Error	https://msdn.microsoft.com/en-us/library/d82598t0(v=vs.90).aspx
C# Compiler	CS0041	DebugEmitFailure	The fully qualified name for 'type' is too long for debug information. Compile without '/debug' option.	Error	https://msdn.microsoft.com/en-us/library/93sk305h(v=vs.90).aspx
C# Compiler	CS0042	DebugInitFile	Unexpected error creating debug information file 'file' - 'reason'	Error	https://msdn.microsoft.com/en-us/library/82h240ac(v=vs.90).aspx
