Program	Code	Mnemonic	Summary	Severity	HelpLink
C# Compiler	CS0001	InternalCompilerError	Internal compiler error	Error	https://msdn.microsoft.com/en-us/library/d75z8zab(v=vs.90).aspx
C# Compiler	CS0003	NoMemory	Out of memory	Error	https://msdn.microsoft.com/en-us/library/6070t644(v=vs.90).aspx
C# Compiler	CS0005	MissingOptionArg	Compiler option 'compiler_option' must be followed by an argument	Error	https://msdn.microsoft.com/en-us/library/14d64z18(v=vs.90).aspx
C# Compiler	CS0006	NoMetadataFile	Metadata file 'dll_name' could not be found	Error	https://msdn.microsoft.com/en-us/library/a92dycyz(v=vs.90).aspx
C# Compiler	CS0007	ComPlusInit	Unexpected common language runtime initialization error - 'description'	Error	https://msdn.microsoft.com/en-us/library/4bwh6d2t(v=vs.90).aspx
C# Compiler	CS0008	MetadataImportFailure	Unexpected error reading metadata from file 'file' - 'description'	Error	https://msdn.microsoft.com/en-us/library/fd1y3633(v=vs.90).aspx
C# Compiler	CS0009	MetadataCantOpenFile	Metadata file 'file' could not be opened - 'description'	Error	https://msdn.microsoft.com/en-us/library/18bykyht(v=vs.90).aspx
C# Compiler	CS0010	FatalError	Unexpected fatal error -- 'error'.	Error	https://msdn.microsoft.com/en-us/library/bb546037(v=vs.90).aspx
C# Compiler	CS0011	CantImportBase	The base class or interface 'class' in assembly 'assembly' referenced by type 'type' could not be resolved	Error	https://msdn.microsoft.com/en-us/library/xx4ww723(v=vs.90).aspx
C# Compiler	CS0012	NoTypeDef	The type 'type' is defined in an assembly that is not referenced. You must add a reference to assembly 'assembly'.	Error	https://msdn.microsoft.com/en-us/library/x0dz51e1(v=vs.90).aspx
C# Compiler	CS0013	MetadataEmitFailure	Unexpected error writing metadata to file 'file' - 'description'	Error	https://msdn.microsoft.com/en-us/library/6b29s6et(v=vs.90).aspx
C# Compiler	CS0014	RequiredFileNotFound	Required file 'file' could not be found	Error	https://msdn.microsoft.com/en-us/library/e13sxxzw(v=vs.90).aspx
C# Compiler	CS0015	ClassNameTooLong	The name of type 'type' is too long	Error	https://msdn.microsoft.com/en-us/library/ekh0s42s(v=vs.90).aspx
C# Compiler	CS0016	OutputWriteFailed	Could not write to output file 'file' - 'reason'	Error	https://msdn.microsoft.com/en-us/library/10bc6bcy(v=vs.90).aspx
C# Compiler	CS0017	MultipleEntryPoints	Program 'output file name' has more than one entry point defined. Compile with /main to specify the type that contains the entry point.	Error	https://msdn.microsoft.com/en-us/library/t9k01y87(v=vs.90).aspx
C# Compiler	CS0019	BadBinaryOps	Operator 'operator' cannot be applied to operands of type 'type' and 'type'	Error	https://msdn.microsoft.com/en-us/library/a63h61ky(v=vs.90).aspx
C# Compiler	CS0020	IntDivByZero	Division by constant zero	Error	https://msdn.microsoft.com/en-us/library/1585byh1(v=vs.90).aspx
C# Compiler	CS0021	BadIndexLHS	Cannot apply indexing with [] to an expression of type 'type'	Error	https://msdn.microsoft.com/en-us/library/akd1d8x2(v=vs.90).aspx
C# Compiler	CS0022	BadIndexCount	Wrong number of indices inside [], expected 'number'	Error	https://msdn.microsoft.com/en-us/library/7aa713ke(v=vs.90).aspx
C# Compiler	CS0023	BadUnaryOp	Operator 'operator' cannot be applied to operand of type 'type'	Error	https://msdn.microsoft.com/en-us/library/yhy5wcyy(v=vs.90).aspx
C# Compiler	CS0025	NoStdLib	Standard library file 'file' could not be found	Error	https://msdn.microsoft.com/en-us/library/1ac82d87(v=vs.90).aspx
C# Compiler	CS0026	ThisInStaticMeth	Keyword 'this' is not valid in a static property, static method, or static field initializer	Error	https://msdn.microsoft.com/en-us/library/5dwy0w6x(v=vs.90).aspx
C# Compiler	CS0027	ThisInBadContext	Keyword 'this' is not available in the current context	Error	https://msdn.microsoft.com/en-us/library/8y4w61te(v=vs.90).aspx
